key,value,date,stage
Hindbrain,2.102739,1,E11.5
Hindbrain,4.421198,2,E13.5
Hindbrain,7.309055,3,E15.5
Hindbrain,8.429085,4,E18.5
Hindbrain,21.248058,5,P4
Hindbrain,50.250122,6,P14
Hindbrain,63.292248,7,P28
Hindbrain,74.791206,8,P56
Hindbrain,74.791206,9,P56
Midbrain,0.405543,1,E11.5
Midbrain,1.80388,2,E13.5
Midbrain,3.388034,3,E15.5
Midbrain,3.388034,4,E18.5
Midbrain,8.064106,5,P4
Midbrain,13.30248,6,P14
Midbrain,13.519402,7,P28
Midbrain,13.466601,8,P56
Midbrain,13.466601,9,P56
Forebrain,1.451293,1,E11.5
Forebrain,6.705916,2,E13.5
Forebrain,14.14345,3,E15.5
Forebrain,23.638947,4,E18.5
Forebrain,68.110245,5,P4
Forebrain,148.628494,6,P14
Forebrain,170.5149,7,P28
Forebrain,191.9146,8,P56
Forebrain,191.9146,9,P56
Spinalcord,1.40303,1,E11.5
Spinalcord,4.29765,2,E13.5
Spinalcord,1.59611,3,E15.5
Spinalcord,1.59611,4,E18.5
Spinalcord,0.873529,5,P4
Spinalcord,0.397294,6,P14
Spinalcord,0.487797,7,P28
Spinalcord,0.08489,8,P56
Spinalcord,0.08489,9,P56
